characteristic,n_studies,total_studies,percent
Portion size,31,91,34.065934065934066
Energy density,19,91,20.87912087912088
Preload,16,91,17.582417582417584
Obesity sample,10,91,10.989010989010989
Fat manipulation,7,91,7.6923076923076925
Sensory-specific satiety,7,91,7.6923076923076925
Weight-loss intervention,6,91,6.593406593406594
Volume,4,91,4.395604395604396
Eating rate/Microstructure,2,91,2.197802197802198
Social context,2,91,2.197802197802198
Eating-disorder sample,1,91,1.098901098901099
Food form,1,91,1.098901098901099
