domain,data_element,n_studies,total_studies,percent
Demographics,Age,76,91,83.51648351648352
Demographics,BMI/Weight status,69,91,75.82417582417582
Demographics,Sex,56,91,61.53846153846154
Demographics,Socioeconomic status,23,91,25.274725274725274
Intake/eating behavior,Measured intake,71,91,78.02197802197803
Intake/eating behavior,Pre/Post-meal ratings,53,91,58.24175824175825
Intake/eating behavior,Carbohydrate intake,47,91,51.64835164835166
Intake/eating behavior,Fat intake,47,91,51.64835164835166
Intake/eating behavior,Protein intake,47,91,51.64835164835166
Intake/eating behavior,Food preference,27,91,29.67032967032967
Intake/eating behavior,Current-status questions,16,91,17.582417582417584
Intake/eating behavior,Fiber intake,16,91,17.582417582417584
Intake/eating behavior,Recall intake,4,91,4.395604395604396
Intake/eating behavior,Eating duration,2,91,2.197802197802198
Intake/eating behavior,Substance use,2,91,2.197802197802198
Questionnaires/related measures,EI,48,91,52.74725274725275
Questionnaires/related measures,EAT,44,91,48.35164835164835
Questionnaires/related measures,Zung,42,91,46.15384615384615
Questionnaires/related measures,Beck,12,91,13.186813186813188
Questionnaires/related measures,CFQ,10,91,10.989010989010989
Questionnaires/related measures,PFS,4,91,4.395604395604396
Questionnaires/related measures,DEBQ,3,91,3.296703296703297
Questionnaires/related measures,UPSIT,2,91,2.197802197802198
Questionnaires/related measures,Birth control,1,91,1.098901098901099
Questionnaires/related measures,BSQ,1,91,1.098901098901099
Questionnaires/related measures,EDI,1,91,1.098901098901099
Questionnaires/related measures,Menstrual cycle,1,91,1.098901098901099
Questionnaires/related measures,QEWP-R,1,91,1.098901098901099
