study,year,study_n,sample_age,sample_sex,location,n_study_characteristics,n_demographic_elements,n_intake_elements,n_questionnaire_elements,n_data_elements
11day_ps,2004,23,Adult,Mixed,Penn State,1,3,5,3,11
1day_edxfat,1999,36,Adult,Female,Penn State,3,1,3,4,8
2day_ed,1996,26,Adult; Child,Female; Mixed,Penn State,1,2,4,3,9
2day_ps,2002,32,Adult,Mixed,Penn State,1,3,5,4,12
2day_psxed,2003,24,Adult,Female,Penn State,2,2,3,3,8
5day_ed,2016,49,Child,Mixed,Penn State,1,4,2,2,8
5day_fv,2017,53,Child,,Penn State,1,4,1,1,6
5day_ps,2015,46,Child,Mixed,Penn State,1,4,2,2,8
Sibutramine,1995,11,Adult,Female,Penn State,0,2,4,0,6
air_preload,1999,28,Adult,Male,Penn State,2,1,3,4,8
apple_preload,2005,58,Adult,Mixed,Penn State,2,3,5,3,11
bev_ps,2004,40,Adult,Mixed,Penn State,1,3,6,3,12
bev_type,2003,44,Adult,Female,Penn State,1,3,6,3,12
cafeteria_ps,2002,180,Adult,Mixed,Penn State,2,3,1,0,4
carrot_ps,2006,51,Child,Mixed,Penn State,1,4,6,0,10
cereal_vol,2011,41,Adult,Mixed,Penn State,1,3,1,1,5
cereal_vol_kids,2011,17,Child,Mixed,Penn State,1,0,1,0,1
chef_ed,2008,432,Adult,Mixed,Penn State,0,0,0,0,0
chef_ps,2004,437,Adult,Mixed,Penn State,0,2,0,0,2
chip_ps,2001,60,Adult,Mixed,Penn State,1,3,5,3,11
depo,1997,33,Adult,Female,Penn State,0,0,0,0,0
eatdis,1990,174,Adult,Female,Johns Hopkins,5,2,9,6,17
ed_info,2000,40,Adult,Female,Penn State,1,2,5,3,10
ed_methods,2010,59,Adult,Mixed,Penn State,1,3,6,3,12
ed_weightloss,2003,97,Adult,Female,Penn State,2,4,6,3,13
edxe,2009,68,Adult,Mixed,Penn State,1,3,7,2,12
edxfat,1997,34,Adult,Female,Penn State,2,2,7,4,13
edxps,2001,39,Adult,Female,Penn State,2,2,5,4,11
elderly_cookie,1996,124,Elderly,Mixed,Penn State,0,0,0,0,0
elderly_yogurt_preload,1992,32,Elderly,Mixed,Penn State,1,2,5,4,11
entrée_int,2010,47,Adult,Female,Penn State,3,2,6,3,11
fat_pref,2000,284,Adult,Mixed,Penn State,0,2,6,2,10
fruit_veg_ps,2008,43,Child,Mixed,Penn State,0,0,0,0,0
fv_variety,2011,61,Child,Mixed,Penn State,0,3,2,0,5
ig_volume_preload,1997,54,Adult,Female,Penn State,0,0,0,0,0
iv_ig_preloads,1991,12,Adult,Male,Johns Hopkins,2,1,6,3,10
kids_mac,1995,36,Child,Mixed,Penn State,1,3,1,0,4
kids_psxed,2013,120,Child,Mixed,Penn State,1,4,6,1,11
leaps_weightloss,2012,186,Adult,Female,Penn State,2,2,1,2,5
lemonade_meals,1991,48,Adult,,Johns Hopkins,0,0,0,1,1
liquid_vas,2002,210,Adult,Mixed,Penn State,0,2,2,1,5
mac_ed,2005,77,Child,Mixed,Penn State,1,4,7,1,12
mac_edxps,2006,61,Child,Mixed,Penn State,2,4,6,1,11
mac_protion,2000,51,Adult,Mixed,Penn State,1,3,5,3,11
mac_ps_birch,2007,87,Child,Mixed,Penn State,1,4,3,0,7
milk_edxps,2014,125,Child,Mixed,Penn State,2,3,6,1,10
milk_sss,1997,36,Adult,Female,Penn State,1,1,2,0,3
milk_sss_tastetest,1997,53,Adult,Mixed,Penn State,1,1,1,0,2
nutred_hormones,2010,71,Adult,Female,Penn State,2,3,2,3,8
olestra_chip,1994,97,Adult,Mixed,Penn State,1,3,4,6,13
olestra_soup_preload,1993,68,Adult,Mixed,Penn State,2,3,5,4,12
peanut_vas,1996,15,Adult,,Penn State,1,0,1,0,1
platesize_series,NA,119,Adult,Mixed,Penn State,0,3,5,3,11
png_fat,1997,38,Adult,Male,Penn State,2,1,3,4,8
portion_choice,2015,50,Adult,Mixed,Penn State,1,3,6,3,12
portion_survey,2020,51,Child,Mixed,Penn State,1,4,2,1,7
premier_ed,2004,658,Adult,Mixed,Penn State,1,4,1,0,5
protien_dose,2008,18,Adult,Female,Penn State,0,3,6,2,11
ps_cost,2015,79,Adult,Mixed,Penn State,1,4,2,2,8
ps_est,2002,32,Adult,Mixed,Penn State,0,3,0,2,5
ps_susceptibility,2013,48,Adult,Female,Penn State,1,3,3,2,8
ps_susceptibility_leaps,2013,102,Adult,Female,Penn State,2,3,7,2,12
ps_togo,2016,53,Adult,Female,Penn State,1,4,3,2,9
psxsatiety,2017,44,Adult,Mixed,Penn State,3,4,3,0,7
reno_diet_records,2000,324,Retro,,Penn State,0,0,0,0,0
riseq,2019,477,Adult,Mixed,Penn State,0,4,0,0,4
salad_preload,2003,42,Adult,Female,Penn State,3,3,5,3,11
salad_timing,2006,51,Adult,Mixed,Penn State,1,3,5,3,11
salad_timing2,2008,46,Adult,Female,Penn State,1,2,5,3,10
sand_ps,2001,75,Adult,Mixed,Penn State,1,3,6,3,12
selfserve_snack,2020,52,Child,Mixed,Penn State,1,4,1,1,6
snack_air,2004,28,Adult,Mixed,Penn State,2,3,2,3,8
sociofeed_dannys_dinner,1990,80,Adult,Mixed,Johns Hopkins,1,2,5,0,7
soup_casserole_preload,1988,24,Adult,Female,Penn State,2,2,5,3,10
soup_preload,2006,60,Adult,Mixed,Penn State,1,3,5,3,11
soup_preload_time,1999,42,Adult,Female,Penn State,1,2,3,3,8
soup_ps,2009,72,Child,Mixed,Penn State,1,4,6,0,10
soup_wl,2001,200,Adult,Mixed,Penn State,2,4,2,3,9
sss_pasta,1997,18,Adult,Female,Penn State,1,0,0,0,0
sss_yogurt,1990,96,Adult,Mixed,Johns Hopkins,1,2,5,4,11
tomato_snack,2012,20,Child,Mixed,Penn State,1,2,2,0,4
veg_add_sub,2007,97,Adult,Mixed,Penn State,2,3,7,3,13
veg_ed,2008,41,Adult,Mixed,Penn State,1,3,6,1,10
veg_ed_kids,2010,40,Child,Mixed,Penn State,1,4,6,0,10
veg_palitability,2018,67,Child,Mixed,Penn State,1,4,6,1,11
veg_variety,2007,66,Adult; Child,Mixed,Penn State,0,4,7,2,13
volume_preload,1996,22,Adult,Male,Penn State,1,2,5,4,11
volume_preload_tastetest,1996,18,Adult,Male,Penn State,0,0,2,0,2
waterin_out,1997,61,Adult,Mixed,Penn State,1,0,0,0,0
whole_vs_parts,1988,52,Adult,Mixed,Johns Hopkins,0,1,5,0,6
yogurt_preload,1991,72,Adult,Mixed,Johns Hopkins,4,3,5,4,12
