Characteristic,Older adults,Adult,Child
Number of Studies,2,69,21
"Sample Size, Mean (SD)",78 (65),89 (117),56 (29)
Location: Johns Hopkins,0 (0%),7 (10%),0 (0%)
Location: Penn State,2 (100%),62 (90%),21 (100%)
Study Sex: Male,0 (0%),5 (7%),0 (0%)
Study Sex: Female,0 (0%),25 (36%),0 (0%)
Study Sex: Mixed,2 (100%),37 (54%),20 (95%)
Data Present: Race/Ethnicity,0 (0%),0 (0%),0 (0%)
Data Present: Socioeconomic Status,0 (0%),8 (12%),15 (71%)
Data Present: BMI/Weight Status,1 (50%),51 (74%),18 (86%)
Data Present: Measured Intake,1 (50%),52 (75%),19 (90%)
Data Present: Macronutrient Intake,1 (50%),38 (55%),9 (43%)
Data Present: Fiber Intake,0 (0%),8 (12%),9 (43%)
