Characteristic,Value
Number of distinct studies,91
Earliest study year,1988
Latest study year,2020
Median study sample size (IQR),51 (37–78)
Age group: Adult,67 (73.6%)
Age group: Adult; Child,2 (2.2%)
Age group: Child,19 (20.9%)
Age group: Elderly,2 (2.2%)
Age group: Retro,1 (1.1%)
Study sex composition: Female,23 (25.3%)
Study sex composition: Female; Mixed,1 (1.1%)
Study sex composition: Male,5 (5.5%)
Study sex composition: Mixed,57 (62.6%)
Study sex composition: Women,1 (1.1%)
Location: Johns Hopkins,7 (7.7%)
Location: Penn State,84 (92.3%)
