Domain,Characteristic,"Studies, n (%)"
Demographics,Age,76 (83.5%)
Demographics,BMI / weight status,69 (75.8%)
Demographics,Sex,56 (61.5%)
Demographics,Socioeconomic status,23 (25.3%)
Intake / eating behavior,Measured intake,71 (78%)
Intake / eating behavior,Pre/post-meal ratings,53 (58.2%)
Intake / eating behavior,Carbohydrate intake,47 (51.6%)
Intake / eating behavior,Fat intake,47 (51.6%)
Intake / eating behavior,Protein intake,47 (51.6%)
Intake / eating behavior,Recall intake,4 (4.4%)
Intake / eating behavior,Food preference,27 (29.7%)
Intake / eating behavior,Eating duration,2 (2.2%)
Intake / eating behavior,Substance use,2 (2.2%)
Intake / eating behavior,Current-status questions,16 (17.6%)
Intake / eating behavior,Fiber intake,16 (17.6%)
Questionnaires / related measures,EI,48 (52.7%)
Questionnaires / related measures,EAT,44 (48.4%)
Questionnaires / related measures,Zung,42 (46.2%)
Questionnaires / related measures,PFS,4 (4.4%)
Questionnaires / related measures,DEBQ,3 (3.3%)
Questionnaires / related measures,UPSIT,2 (2.2%)
Questionnaires / related measures,Beck,12 (13.2%)
Questionnaires / related measures,CFQ,10 (11%)
Questionnaires / related measures,Birth control,1 (1.1%)
Questionnaires / related measures,BSQ,1 (1.1%)
Questionnaires / related measures,EDI,1 (1.1%)
Questionnaires / related measures,Menstrual cycle,1 (1.1%)
Questionnaires / related measures,QEWP-R,1 (1.1%)
Study design / population,Fat manipulation,7 (7.7%)
Study design / population,Sensory-specific satiety,7 (7.7%)
Study design / population,Weight-loss intervention,6 (6.6%)
Study design / population,Volume,4 (4.4%)
Study design / population,Portion size,31 (34.1%)
Study design / population,Eating rate / microstructure,2 (2.2%)
Study design / population,Social context,2 (2.2%)
Study design / population,Energy density,19 (20.9%)
Study design / population,Preload,16 (17.6%)
Study design / population,Obesity sample,10 (11%)
Study design / population,Eating-disorder sample,1 (1.1%)
Study design / population,Food form,1 (1.1%)
